Account_ID,Client_ID,Asset_Class,Ticker,Holding_Name,Market_Value,Cost_Basis,Expected_Return,Volatility,Income_Yield,Liquidity_Days
ACCT-501,PB-1001,Equity,VTI,US Total Equity ETF,1750000,1400000,0.075,0.165,0.015,1
ACCT-501,PB-1001,Equity,VEA,Developed International Equity ETF,625000,570000,0.065,0.18,0.025,1
ACCT-501,PB-1001,Fixed Income,AGG,Core Bond ETF,1250000,1300000,0.042,0.06,0.038,1
ACCT-501,PB-1001,Cash,CASH,Money Market / Sweep,375000,375000,0.03,0.005,0.03,0
ACCT-501,PB-1001,Alternatives,PE-COI,Private Equity Co-Investment Fund,500000,500000,0.105,0.22,0.0,365
ACCT-502,PB-1002,Equity,VTI,US Total Equity ETF,820000,700000,0.075,0.165,0.015,1
ACCT-502,PB-1002,Fixed Income,MUB,National Muni Bond ETF,1350000,1360000,0.036,0.045,0.032,1
ACCT-502,PB-1002,Fixed Income,SHY,Short Treasury ETF,750000,745000,0.031,0.018,0.03,1
ACCT-502,PB-1002,Cash,CASH,Money Market / Sweep,580000,580000,0.03,0.005,0.03,0
ACCT-502,PB-1002,Alternatives,PC-FND,Private Credit Fund,300000,300000,0.085,0.12,0.06,180
ACCT-503,PB-1003,Equity,QQQM,Nasdaq 100 ETF,1950000,1700000,0.085,0.22,0.008,1
ACCT-503,PB-1003,Equity,VTI,US Total Equity ETF,1100000,970000,0.075,0.165,0.015,1
ACCT-503,PB-1003,Fixed Income,BND,Total Bond ETF,600000,610000,0.04,0.055,0.036,1
ACCT-503,PB-1003,Alternatives,VC-FND,Venture Growth Fund,750000,750000,0.13,0.3,0.0,365
ACCT-503,PB-1003,Cash,CASH,Money Market / Sweep,250000,250000,0.03,0.005,0.03,0
ACCT-504,PB-1004,Equity,VTV,US Value ETF,450000,420000,0.06,0.14,0.025,1
ACCT-504,PB-1004,Fixed Income,MUB,National Muni Bond ETF,1100000,1090000,0.036,0.045,0.032,1
ACCT-504,PB-1004,Fixed Income,SHY,Short Treasury ETF,650000,650000,0.031,0.018,0.03,1
ACCT-504,PB-1004,Cash,CASH,Money Market / Sweep,420000,420000,0.03,0.005,0.03,0
ACCT-504,PB-1004,Alternatives,RE-FND,Core Real Estate Fund,180000,180000,0.072,0.105,0.045,180
