Client_ID,Scenario,Modeled_Return,Modeled_Portfolio_Value,Estimated_Gain_Loss
PB-1001,Base Case,0.05541666666666667,4749375.0,249375.0
PB-1001,Equity Drawdown,-0.09222222222222222,4085000.0,-415000.0
PB-1001,Rates Up / Duration Shock,-0.04875,4280625.0,-219375.0
PB-1001,Recession Stress,-0.11027777777777778,4003750.0,-496250.0
PB-1001,Soft Landing,0.07288888888888889,4828000.000000001,328000.00000000093
PB-1002,Base Case,0.04426315789473685,3968200.0,168200.0
PB-1002,Equity Drawdown,-0.025184210526315788,3704300.0,-95700.0
PB-1002,Rates Up / Duration Shock,-0.050236842105263156,3609100.0,-190900.0
PB-1002,Recession Stress,-0.01921052631578947,3727000.0,-73000.0
PB-1002,Soft Landing,0.05606315789473685,4013040.0,213040.0
PB-1003,Base Case,0.06166666666666666,4936750.0,286750.0
PB-1003,Equity Drawdown,-0.1229032258064516,4078500.0,-571500.0
PB-1003,Rates Up / Duration Shock,-0.044569892473118274,4442750.0,-207250.0
PB-1003,Recession Stress,-0.15430107526881717,3932500.0,-717500.0
PB-1003,Soft Landing,0.08166666666666667,5029749.999999999,379749.99999999907
PB-1004,Base Case,0.04196428571428571,2917500.0,117500.0
PB-1004,Equity Drawdown,-0.012660714285714286,2764550.0,-35450.0
PB-1004,Rates Up / Duration Shock,-0.05310714285714287,2651300.0,-148700.0
PB-1004,Recession Stress,-0.001071428571428573,2797000.0,-3000.0
PB-1004,Soft Landing,0.05289642857142857,2948110.0,148110.0
